date,value,Flow
21/12/2015,0.8,27.331
21/12/2015,0.6,27.25
21/12/2015,0.2,27.331
21/12/2015,0.4,27.29
21/12/2015,0.2,27.25
21/12/2015,0.2,27.209
21/12/2015,0.6,27.331
21/12/2015,0.4,27.25
21/12/2015,1,27.412
21/12/2015,0.8,27.656
21/12/2015,0,27.493
21/12/2015,0,27.778
21/12/2015,0,28.145
21/12/2015,0,28.473
21/12/2015,0,28.967
21/12/2015,0,29.297
21/12/2015,0,29.962
21/12/2015,0,30.38
21/12/2015,0,30.842
21/12/2015,0,31.56
21/12/2015,0,32.497
21/12/2015,0,33.832
21/12/2015,0,34.746
21/12/2015,0,35.359
21/12/2015,0,35.976
21/12/2015,0,35.8
21/12/2015,0,35.491
21/12/2015,0,35.052
21/12/2015,0,34.484
21/12/2015,0,34.31
21/12/2015,0,33.919
21/12/2015,0,33.616
21/12/2015,0,33.573
21/12/2015,0,33.573
21/12/2015,0,33.616
21/12/2015,0,33.746
21/12/2015,0,34.136
21/12/2015,0,34.223
21/12/2015,0,34.223
21/12/2015,0,34.484
21/12/2015,0,34.572
21/12/2015,0,34.659
21/12/2015,0,34.746
21/12/2015,0,34.965
21/12/2015,0,35.097
21/12/2015,0,35.228
21/12/2015,0,35.448
21/12/2015,0,35.668
21/12/2015,0,36.154
21/12/2015,0,36.597
21/12/2015,0,36.998
22/12/2015,0,37.624
22/12/2015,0,38.118
22/12/2015,0,38.614
22/12/2015,0.2,39.475
22/12/2015,0.6,39.931
22/12/2015,0.4,40.664
22/12/2015,0.2,40.894
22/12/2015,0,41.447
22/12/2015,0,41.863
22/12/2015,0,41.91
22/12/2015,0,42.142
22/12/2015,0,42.374
22/12/2015,0,42.328
22/12/2015,0.2,42.468
22/12/2015,0,42.328
22/12/2015,0.2,42.235
22/12/2015,0,42.375
22/12/2015,0,42.421
22/12/2015,0,42.282
22/12/2015,0,42.235
22/12/2015,0,42.282
22/12/2015,0,42.049
22/12/2015,0.2,41.771
22/12/2015,0.2,41.818
22/12/2015,0,41.586
22/12/2015,0,41.17
22/12/2015,0.2,40.894
22/12/2015,0,40.756
22/12/2015,0,40.572
22/12/2015,0,40.114
22/12/2015,0,39.749
22/12/2015,0,39.294
22/12/2015,0,38.795
22/12/2015,0,38.569
22/12/2015,0,38.344
22/12/2015,0,37.894
22/12/2015,0,37.669
22/12/2015,0,37.445
22/12/2015,0,37.222
22/12/2015,0,37.088
22/12/2015,0.2,36.91
22/12/2015,0.4,36.865
22/12/2015,0.2,36.732
22/12/2015,0.2,36.821
22/12/2015,0.2,36.465
22/12/2015,0.2,36.376
22/12/2015,0.6,36.288
22/12/2015,0.2,36.377
22/12/2015,0.6,36.332
22/12/2015,1,36.377
22/12/2015,1,36.465
22/12/2015,0.8,36.421
22/12/2015,0.6,36.465
22/12/2015,0.2,36.732
22/12/2015,0.4,37.133
22/12/2015,0.2,37.759
22/12/2015,0.2,38.66
22/12/2015,0.4,39.567
22/12/2015,0,40.573
22/12/2015,0,41.31
22/12/2015,0,42.562
22/12/2015,0,44.722
22/12/2015,0,47.301
22/12/2015,0,49.778
22/12/2015,0,52.543
22/12/2015,0.2,54.648
22/12/2015,0,56.269
22/12/2015,0,56.881
22/12/2015,0,57.137
22/12/2015,0.2,56.728
22/12/2015,0,56.728
22/12/2015,0,57.035
22/12/2015,0,57.342
22/12/2015,0,58.111
22/12/2015,0,58.111
22/12/2015,0,58.42
22/12/2015,0,58.575
22/12/2015,0,58.884
22/12/2015,0,59.401
22/12/2015,0,59.816
22/12/2015,0,60.179
22/12/2015,0,60.544
22/12/2015,0,61.431
22/12/2015,0,61.588
22/12/2015,0,61.955
22/12/2015,0,62.428
22/12/2015,0,63.06
22/12/2015,0,63.588
22/12/2015,0,63.959
22/12/2015,0,64.277
22/12/2015,0.2,64.915
22/12/2015,0.2,65.182
22/12/2015,0,65.716
22/12/2015,0,65.876
22/12/2015,0,66.358
22/12/2015,0,66.251
23/12/2015,0,66.573
23/12/2015,0.6,66.841
23/12/2015,0,67.433
23/12/2015,0,67.272
23/12/2015,0,67.218
23/12/2015,0,67.379
23/12/2015,0,67.272
23/12/2015,0,67.272
23/12/2015,0.2,67.433
23/12/2015,0,67.379
23/12/2015,0,66.841
23/12/2015,0,66.949
23/12/2015,0,66.895
23/12/2015,0,66.734
23/12/2015,0,66.734
23/12/2015,0,66.412
23/12/2015,0,66.144
23/12/2015,0,65.984
23/12/2015,0,65.823
23/12/2015,0,65.556
23/12/2015,0,65.236
23/12/2015,0.2,64.703
23/12/2015,0,64.437
23/12/2015,0,63.907
23/12/2015,0.2,63.484
23/12/2015,0,62.956
23/12/2015,0,62.271
23/12/2015,0,61.904
23/12/2015,0,61.38
23/12/2015,0,61.275
23/12/2015,0,60.858
23/12/2015,0,60.441
23/12/2015,0,60.181
23/12/2015,0,59.454
23/12/2015,0,58.989
23/12/2015,0,58.267
23/12/2015,0,57.394
23/12/2015,0,56.883
23/12/2015,0,56.271
23/12/2015,0,55.763
23/12/2015,0,55.256
23/12/2015,0,54.903
23/12/2015,0,54.398
23/12/2015,0,53.795
23/12/2015,0,53.595
23/12/2015,0,52.944
23/12/2015,0,52.546
23/12/2015,0,52.247
23/12/2015,0,51.8
23/12/2015,0,51.355
23/12/2015,0,51.206
23/12/2015,0,50.615
23/12/2015,0,50.172
23/12/2015,0,50.123
23/12/2015,0,49.585
23/12/2015,0,49.243
23/12/2015,0,49.243
23/12/2015,0,49.048
23/12/2015,0,48.902
23/12/2015,0,48.61
23/12/2015,0,48.561
23/12/2015,0,48.367
23/12/2015,0,48.27
23/12/2015,0,48.513
23/12/2015,0,48.125
23/12/2015,0,48.367
23/12/2015,0,48.222
23/12/2015,0,48.222
23/12/2015,0,48.222
23/12/2015,0,48.222
23/12/2015,0,48.076
23/12/2015,0,47.98
23/12/2015,0,47.738
23/12/2015,0,47.835
23/12/2015,0,47.593
23/12/2015,0,47.545
23/12/2015,0,47.352
23/12/2015,0,47.256
23/12/2015,0,47.063
23/12/2015,0,46.871
23/12/2015,0,46.727
23/12/2015,0,46.535
23/12/2015,0,46.391
23/12/2015,0,45.913
23/12/2015,0,45.723
23/12/2015,0,45.532
23/12/2015,0,45.342
23/12/2015,0,45.01
23/12/2015,0,44.773
23/12/2015,0,44.489
23/12/2015,0,44.064
23/12/2015,0,43.829
23/12/2015,0,43.829
23/12/2015,0,43.453
23/12/2015,0,42.985
23/12/2015,0,42.845
24/12/2015,0,42.519
24/12/2015,0,42.239
24/12/2015,0,42.007
24/12/2015,0,41.683
24/12/2015,0,41.359
24/12/2015,0,41.221
24/12/2015,0,40.852
24/12/2015,0,40.623
24/12/2015,0,40.393
24/12/2015,0,40.119
24/12/2015,0,39.753
24/12/2015,0,39.571
24/12/2015,0,39.207
24/12/2015,0,38.799
24/12/2015,0,38.709
24/12/2015,0,38.393
24/12/2015,0,38.078
24/12/2015,0,37.763
24/12/2015,0,37.584
24/12/2015,0,37.137
24/12/2015,0,36.869
24/12/2015,0,36.736
24/12/2015,0,36.38
24/12/2015,0,36.203
24/12/2015,0,35.85
24/12/2015,0,35.629
24/12/2015,0,35.409
24/12/2015,0,35.19
24/12/2015,0,35.19
24/12/2015,0,34.927
24/12/2015,0,34.446
24/12/2015,0.2,34.403
24/12/2015,0.4,34.185
24/12/2015,0.2,34.011
24/12/2015,0.8,33.795
24/12/2015,1,33.708
24/12/2015,3.6,33.578
24/12/2015,0.6,33.276
24/12/2015,0,33.276
24/12/2015,0.6,33.406
24/12/2015,0.4,33.276
24/12/2015,0,33.362
24/12/2015,0,33.147
24/12/2015,0,33.104
24/12/2015,0,33.061
24/12/2015,0,33.276
24/12/2015,0,33.622
24/12/2015,0,34.272
24/12/2015,0,34.36
24/12/2015,0,34.796
24/12/2015,0,35.366
24/12/2015,0,35.806
24/12/2015,0,36.292
24/12/2015,0,37.182
24/12/2015,0,38.213
24/12/2015,0,39.027
24/12/2015,0,39.663
24/12/2015,0,40.074
24/12/2015,0,40.12
24/12/2015,0,40.532
24/12/2015,0,40.716
24/12/2015,0,41.407
24/12/2015,0,41.777
24/12/2015,0,42.707
24/12/2015,0,43.455
24/12/2015,0,43.925
24/12/2015,0,44.68
24/12/2015,0,45.296
24/12/2015,0,45.487
24/12/2015,0,45.772
24/12/2015,0,45.582
24/12/2015,0,45.439
24/12/2015,0,45.249
24/12/2015,0,45.154
24/12/2015,0,44.775
24/12/2015,0,44.491
24/12/2015,0,44.444
24/12/2015,0,43.831
24/12/2015,0,43.643
24/12/2015,0,43.268
24/12/2015,0,43.127
24/12/2015,0,42.94
24/12/2015,0,42.567
24/12/2015,0,42.521
24/12/2015,0,42.521
24/12/2015,0,42.288
24/12/2015,0.2,42.102
24/12/2015,0,41.963
24/12/2015,0,41.917
24/12/2015,0,41.917
24/12/2015,0,41.685
24/12/2015,0,41.407
24/12/2015,0,41.408
24/12/2015,0,41.269
24/12/2015,0,40.946
24/12/2015,0,41.039
25/12/2015,0,40.671
25/12/2015,0,40.487
25/12/2015,0,40.258
25/12/2015,0,40.075
25/12/2015,0,39.938
25/12/2015,0,39.71
25/12/2015,0,39.437
25/12/2015,0,39.346
25/12/2015,0,38.983
25/12/2015,0,38.756
25/12/2015,0,38.395
25/12/2015,0,38.17
25/12/2015,0,37.945
25/12/2015,0,37.676
25/12/2015,0,37.407
25/12/2015,0.2,37.139
25/12/2015,0.2,36.782
25/12/2015,0.2,36.427
25/12/2015,0.6,36.338
25/12/2015,0,36.117
25/12/2015,0,35.808
25/12/2015,0,35.543
25/12/2015,0,35.367
25/12/2015,0,35.236
25/12/2015,0,35.06
25/12/2015,0,34.666
25/12/2015,0,34.579
25/12/2015,0,34.318
25/12/2015,0,34.274
25/12/2015,0,34.144
